wall_time,step,value
1695481442.6406634,49,1.097010850906372
1695481445.8167255,99,1.1856789588928223
1695481449.0123436,149,1.0144541263580322
1695481452.2771714,199,1.1064200401306152
1695481455.8974426,249,1.0699245929718018
1695481459.0860417,299,1.0826640129089355
1695481462.3132865,349,1.0802385807037354
1695481465.511415,399,1.1030120849609375
1695481469.1106226,449,1.127923846244812
1695481472.3763542,499,0.9624200463294983
1695481475.5865355,549,1.1653199195861816
1695481478.8264244,599,0.9327472448348999
1695481482.5165396,649,1.0924673080444336
1695481485.724184,699,1.101233720779419
1695481488.9400034,749,0.9181810617446899
1695481492.1664963,799,0.787422776222229
1695481495.7482414,849,0.8966251611709595
1695481498.9222007,899,0.7974460124969482
1695481502.1034524,949,1.0064735412597656
1695481505.280891,999,0.854103684425354
1695481508.847707,1049,0.7492476105690002
1695481512.039784,1099,0.952996551990509
1695481515.2823226,1149,0.9310749769210815
1695481518.5215955,1199,0.8704839944839478
1695481522.0789127,1249,0.7139075994491577
1695481525.3069768,1299,0.7212780714035034
1695481528.5404983,1349,0.8109427094459534
