wall_time,step,value
1695481370.808392,7,0.32421875
1695481371.3840365,15,0.328125
1695481371.9449403,23,0.3515625
1695481372.4892762,31,0.34375
1695481373.0317454,39,0.33984375
1695481373.56802,47,0.35546875
1695481374.1204135,55,0.3828125
1695481374.690069,63,0.34765625
1695481375.2153728,71,0.35546875
1695481375.747141,79,0.35546875
1695481376.265482,87,0.37890625
1695481376.790302,95,0.375
1695481377.3214135,103,0.38671875
1695481377.8741262,111,0.375
1695481378.4318655,119,0.41015625
1695481378.948431,127,0.375
1695481379.4757543,135,0.390625
1695481380.0475721,143,0.3828125
1695481380.5934165,151,0.44921875
1695481381.1366365,159,0.4609375
1695481381.6741524,167,0.40625
1695481382.21567,175,0.4296875
1695481382.7622225,183,0.375
1695481383.3098657,191,0.40625
1695481383.828273,199,0.4453125
1695481384.353761,207,0.42578125
1695481384.883565,215,0.47265625
1695481385.3942928,223,0.40234375
1695481385.933134,231,0.43359375
1695481386.4717607,239,0.4609375
1695481387.035432,247,0.47265625
1695481387.5974498,255,0.46875
1695481388.1198168,263,0.4765625
1695481388.6487403,271,0.4921875
1695481389.167456,279,0.48828125
1695481389.7134762,287,0.4921875
1695481390.2309072,295,0.49609375
1695481390.7935915,303,0.484375
1695481391.335165,311,0.46875
1695481391.8749435,319,0.5
1695481392.4170396,327,0.41796875
1695481392.949801,335,0.36328125
1695481393.4969947,343,0.35546875
1695481394.0409162,351,0.3515625
1695481394.594077,359,0.34765625
1695481395.1357422,367,0.34765625
1695481395.686871,375,0.390625
1695481396.2393773,383,0.48046875
1695481396.7773528,391,0.4765625
1695481397.2988777,399,0.5078125
1695481397.8589976,407,0.44140625
1695481398.362884,415,0.48046875
1695481398.8942182,423,0.47265625
1695481399.4381378,431,0.484375
1695481399.9912877,439,0.48828125
1695481400.5297053,447,0.40625
1695481401.0650473,455,0.3828125
1695481401.6263757,463,0.46484375
1695481402.1634414,471,0.4921875
1695481402.682474,479,0.51171875
1695481403.201645,487,0.484375
1695481403.7149959,495,0.48046875
1695481404.2356162,503,0.5
1695481404.774278,511,0.49609375
1695481405.2892647,519,0.49609375
1695481405.8309114,527,0.5078125
1695481406.383406,535,0.52734375
1695481406.928179,543,0.51953125
1695481407.457096,551,0.50390625
1695481408.0051248,559,0.49609375
1695481408.5723772,567,0.5078125
1695481409.140618,575,0.53125
1695481409.6818655,583,0.5078125
1695481410.2066066,591,0.49609375
1695481410.7260108,599,0.5078125
1695481411.2633848,607,0.53125
1695481411.7919302,615,0.53515625
1695481412.3478632,623,0.46484375
1695481412.8721535,631,0.53515625
1695481413.4134321,639,0.515625
1695481413.934004,647,0.53125
1695481414.4766617,655,0.53515625
1695481415.049775,663,0.48828125
1695481415.6134253,671,0.51171875
1695481416.1519043,679,0.53125
1695481416.6920927,687,0.52734375
1695481417.2434406,695,0.54296875
1695481417.7668216,703,0.5234375
1695481418.2816715,711,0.51953125
1695481418.8141167,719,0.5234375
1695481419.333931,727,0.546875
1695481419.8664086,735,0.54296875
1695481420.37981,743,0.5390625
1695481420.9102042,751,0.5390625
1695481421.4508233,759,0.49609375
1695481421.9872096,767,0.5234375
1695481422.5519373,775,0.5625
1695481423.0967493,783,0.51953125
1695481423.6698735,791,0.52734375
1695481424.224766,799,0.51171875
1695481424.7676303,807,0.51953125
1695481425.3078136,815,0.5234375
1695481425.837768,823,0.5546875
1695481426.3762443,831,0.57421875
1695481426.904697,839,0.55859375
1695481427.428123,847,0.5390625
1695481427.980933,855,0.52734375
1695481428.5202606,863,0.5390625
1695481429.0699942,871,0.59375
1695481429.6176176,879,0.5625
1695481430.2021995,887,0.56640625
1695481430.7615268,895,0.59765625
1695481431.3016665,903,0.58203125
1695481431.8453248,911,0.59765625
1695481432.3824842,919,0.5703125
1695481432.9042268,927,0.5703125
1695481433.4818795,935,0.5546875
1695481434.0202463,943,0.6015625
1695481434.5530193,951,0.6015625
1695481435.0894575,959,0.5625
1695481435.6174724,967,0.58203125
1695481436.1993685,975,0.6015625
1695481436.7147849,983,0.58984375
1695481437.2740583,991,0.5625
1695481437.8064098,999,0.625
1695481438.3703337,1007,0.63671875
1695481438.8988018,1015,0.58984375
